name,sub_type,type,job,cls,rank,base_atk,min_atk,max_atk,base_matk,min_matk,max_matk,base_def,min_def,max_def
"","Polearm","Weapon","Aran","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"","Polearm","Weapon","Aran","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"","Polearm","Weapon","Aran","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"","Polearm","Weapon","Aran","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"","Polearm","Weapon","Aran","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"","Polearm","Weapon","Aran","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Briser","Polearm","Weapon","Aran","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Polearm","Weapon","Aran","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Utgard","Polearm","Weapon","Aran","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Normal","24","21.60","26.40","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Rare","200","180.00","220.00","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Epic","591","531.90","650.10","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Unique","1,196","1,076.40","1,315.60","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Legendary","2,072","1,864.80","2,279.20","0","0.00","0.00","0","0.00","0.00"
"Agares","Spear","Weapon","DarkKnight","Warrior","Mythic","3,443","3,098.70","3,787.30","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Normal","24","21.60","26.40","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Rare","200","180.00","220.00","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Epic","591","531.90","650.10","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Unique","1,196","1,076.40","1,315.60","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Legendary","2,072","1,864.80","2,279.20","0","0.00","0.00","0","0.00","0.00"
"Briser","Spear","Weapon","DarkKnight","Warrior","Mythic","3,443","3,098.70","3,787.30","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Normal","24","21.60","26.40","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Rare","200","180.00","220.00","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Epic","591","531.90","650.10","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Unique","1,196","1,076.40","1,315.60","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Legendary","2,072","1,864.80","2,279.20","0","0.00","0.00","0","0.00","0.00"
"Jaihin","Spear","Weapon","DarkKnight","Warrior","Mythic","3,443","3,098.70","3,787.30","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Normal","24","21.60","26.40","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Rare","200","180.00","220.00","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Epic","591","531.90","650.10","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Unique","1,196","1,076.40","1,315.60","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Legendary","2,072","1,864.80","2,279.20","0","0.00","0.00","0","0.00","0.00"
"Utgard","Spear","Weapon","DarkKnight","Warrior","Mythic","3,443","3,098.70","3,787.30","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"","THSword","Weapon","SoulMaster","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Briser","THSword","Weapon","SoulMaster","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Jaihin","THSword","Weapon","SoulMaster","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Normal","25","22.50","27.50","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Rare","201","180.90","221.10","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Epic","592","532.80","651.20","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Unique","1,197","1,077.30","1,316.70","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Legendary","2,073","1,865.70","2,280.30","0","0.00","0.00","0","0.00","0.00"
"Utgard","THSword","Weapon","SoulMaster","Warrior","Mythic","3,444","3,099.60","3,788.40","0","0.00","0.00","0","0.00","0.00"
"Agares","","Shoes","Warrior","Warrior","Normal","0","0.00","0.00","0","0.00","0.00","16","14.40","17.60"
"Agares","","Shoes","Warrior","Warrior","Rare","0","0.00","0.00","0","0.00","0.00","58","52.20","63.80"
"Agares","","Shoes","Warrior","Warrior","Epic","0","0.00","0.00","0","0.00","0.00","153","137.70","168.30"
"Agares","","Shoes","Warrior","Warrior","Unique","0","0.00","0.00","0","0.00","0.00","306","275.40","336.60"
"Agares","","Shoes","Warrior","Warrior","Legendary","0","0.00","0.00","0","0.00","0.00","545","490.50","599.50"
"Agares","","Shoes","Warrior","Warrior","Mythic","0","0.00","0.00","0","0.00","0.00","986","887.40","1,084.60"
"Eclectic","","Shoes","Warrior","Warrior","Normal","0","0.00","0.00","0","0.00","0.00","16","14.40","17.60"
"Eclectic","","Shoes","Warrior","Warrior","Rare","0","0.00","0.00","0","0.00","0.00","58","52.20","63.80"
"Eclectic","","Shoes","Warrior","Warrior","Epic","0","0.00","0.00","0","0.00","0.00","153","137.70","168.30"
"Eclectic","","Shoes","Warrior","Warrior","Unique","0","0.00","0.00","0","0.00","0.00","306","275.40","336.60"
"Eclectic","","Shoes","Warrior","Warrior","Legendary","0","0.00","0.00","0","0.00","0.00","545","490.50","599.50"
"Eclectic","","Shoes","Warrior","Warrior","Mythic","0","0.00","0.00","0","0.00","0.00","986","887.40","1,084.60"
"Muspell","","Shoes","Warrior","Warrior","Normal","0","0.00","0.00","0","0.00","0.00","16","14.40","17.60"
"Muspell","","Shoes","Warrior","Warrior","Rare","0","0.00","0.00","0","0.00","0.00","58","52.20","63.80"
"Muspell","","Shoes","Warrior","Warrior","Epic","0","0.00","0.00","0","0.00","0.00","153","137.70","168.30"
"Muspell","","Shoes","Warrior","Warrior","Unique","0","0.00","0.00","0","0.00","0.00","306","275.40","336.60"
"Muspell","","Shoes","Warrior","Warrior","Legendary","0","0.00","0.00","0","0.00","0.00","545","490.50","599.50"
"Muspell","","Shoes","Warrior","Warrior","Mythic","0","0.00","0.00","0","0.00","0.00","986","887.40","1,084.60"
"Pensalir","","Shoes","Warrior","Warrior","Normal","0","0.00","0.00","0","0.00","0.00","16","14.40","17.60"
